sn,name,province,lon,lat,height
50353,呼玛,黑龙江,126.65,51.717,177.4
50434,图里河,内蒙古,121.683,50.483,732.6
50468,黑河,黑龙江,127.45,50.25,166.4
50514,满洲里,内蒙古,117.433,49.567,661.7
50527,海拉尔,内蒙古,119.75,49.217,610.2
50548,小二沟,内蒙古,123.717,49.2,286.1
50557,嫩江,黑龙江,125.233,49.167,242.2
50564,孙吴,黑龙江,127.35,49.433,234.5
50603,新巴尔虎右旗,内蒙古,116.817,48.667,554.2
50618,新巴尔虎左旗,内蒙古,118.267,48.217,642
50632,博克图,内蒙古,121.917,48.767,739.7
50639,扎兰屯,内蒙古,122.733,48,306.5
50656,北安,黑龙江,126.517,48.283,269.7
50658,克山,黑龙江,125.883,48.05,234.6
50727,阿尔山,内蒙古,119.933,47.167,997.2
50742,富裕,黑龙江,124.483,47.8,162.7
50745,齐齐哈尔,黑龙江,123.917,47.383,147.1
50756,海伦,黑龙江,126.967,47.433,239.2
50758,明水,黑龙江,125.9,47.167,247.2
50774,伊春,黑龙江,128.917,47.733,240.9
50775,鹤岗,黑龙江,130.267,47.333,227.9
50788,富锦,黑龙江,131.983,47.233,66.4
50834,索伦,内蒙古,121.217,46.6,499.7
50844,泰来,黑龙江,123.417,46.4,149.5
50853,绥化,黑龙江,126.967,46.617,179.6
50854,安达,黑龙江,125.317,46.383,149.3
50862,铁力,黑龙江,128.017,46.983,210.5
50877,依兰,黑龙江,129.583,46.3,100.1
50888,宝清,黑龙江,132.183,46.317,83
50915,东乌珠穆沁旗,内蒙古,116.967,45.517,838.9
50936,白城,吉林,122.833,45.633,155.3
50948,乾安,吉林,124.017,45,146.3
50949,前郭尔罗斯,吉林,124.867,45.083,136.2
50953,哈尔滨,黑龙江,126.767,45.75,142.3
50963,通河,黑龙江,128.733,45.967,108.6
50968,尚志,黑龙江,127.967,45.217,189.7
50978,鸡西,黑龙江,130.933,45.3,280.8
50983,虎林,黑龙江,132.967,45.767,100.2
51053,哈巴河,新疆,86.4,48.05,532.6
51059,吉木乃,新疆,85.867,47.433,984.1
51068,福海,新疆,87.467,47.117,500.9
51087,富蕴,新疆,89.517,46.983,807.5
51133,塔城,新疆,83,46.733,534.9
51156,和布克赛尔,新疆,85.717,46.783,1291.6
51186,青河,新疆,90.383,46.667,1218.2
51232,阿拉山口,新疆,82.567,45.183,336.1
51241,托里,新疆,83.6,45.933,1077.8
51243,克拉玛依,新疆,84.85,45.617,449.5
51288,北塔山,新疆,90.533,45.367,1653.7
51330,温泉,新疆,81.017,44.967,1357.8
